times,agents,items,results
0.4310159683227539,4,10,True
121.39451217651367,5,15,True
300.05712842941284,7,18,unknown
11.817838907241821,5,12,True
0.0978691577911377,3,7,True
0.11111974716186523,3,6,True
5.420121669769287,5,12,True
4.095059394836426,4,11,True
300.0564453601837,7,19,unknown
0.05894351005554199,2,8,True
0.052635908126831055,2,7,True
0.37760448455810547,3,12,True
120.47261786460876,5,14,True
1.4580485820770264,4,11,True
5.387783050537109,6,12,True
0.9859311580657959,5,10,True
300.0395610332489,6,22,unknown
0.07864117622375488,3,7,True
0.36588072776794434,3,11,True
0.19515371322631836,3,10,True
519.309241771698,6,14,unknown
0.041805267333984375,2,6,True
300.0344386100769,6,15,unknown
354.1860296726227,4,16,True
28.627822399139404,5,14,True
0.8450963497161865,3,12,True
0.046065568923950195,2,7,True
328.7962474822998,4,15,unknown
365.17938446998596,7,16,unknown
468.14251708984375,5,15,True
0.6199204921722412,3,12,True
2.02377986907959,4,11,True
7.945052862167358,5,12,True
300.0443787574768,7,24,unknown
300.060747385025,7,18,unknown
300.05011677742004,7,18,unknown
180.14377355575562,5,13,True
13.499484062194824,5,13,True
0.07716035842895508,3,7,True
0.39425230026245117,3,12,True
300.0330665111542,6,18,unknown
300.03514862060547,7,21,unknown
0.24924588203430176,3,12,True
300.02927923202515,5,17,unknown
4.505380153656006,5,12,True
300.0371036529541,5,19,unknown
221.25892758369446,5,13,True
248.12239146232605,6,13,True
300.064621925354,7,18,unknown
300.0308654308319,8,16,unknown
0.4937708377838135,3,11,True
520.8142907619476,5,15,True
300.1085832118988,7,24,unknown
41.82570219039917,6,12,True
300.06159114837646,5,19,unknown
393.0891387462616,5,14,True
530.4520268440247,5,15,unknown
0.20927882194519043,3,9,True
300.0733916759491,7,22,unknown
0.20158600807189941,3,9,True
300.0527112483978,7,22,unknown
0.30834507942199707,4,9,True
300.07429480552673,7,23,unknown
300.03469347953796,5,16,unknown
0.36603832244873047,3,10,True
300.100195646286,8,27,unknown
0.14981794357299805,3,9,True
137.91742491722107,6,13,True
0.26136040687561035,3,10,True
1.4169917106628418,3,12,True
300.0488176345825,5,20,unknown
0.6630117893218994,3,12,True
48.12571859359741,5,13,True
2.7950589656829834,5,10,True
0.05090928077697754,2,5,True
0.23150134086608887,3,9,True
300.05959153175354,8,17,unknown
561.9055209159851,4,16,True
300.0388524532318,6,17,unknown
300.09285020828247,7,22,unknown
300.07665276527405,8,19,unknown
186.41355109214783,6,13,True
13.743635892868042,4,14,True
300.10779094696045,7,23,unknown
0.5206215381622314,4,10,True
300.137330532074,8,31,unknown
0.3862171173095703,4,9,True
237.2443528175354,4,16,True
0.42591166496276855,4,10,True
300.12907576560974,8,31,unknown
0.1200258731842041,3,8,True
300.05622816085815,5,17,unknown
2.217916250228882,5,11,True
300.0625567436218,7,17,unknown
300.0419502258301,6,23,unknown
0.038913726806640625,2,5,True
0.3898661136627197,3,12,True
300.08315920829773,8,22,unknown
300.0380759239197,6,19,unknown
0.1318039894104004,3,7,True
